98
8.928571428571428E-4,	0.03571428571428571,	0.7142857142857142,	0.05,	0.0
0.004427138093774236,	0.07068561901834186,	0.6994266660811229,	0.05,	0.0019891606282300173
0.012379355583938538,	0.159044349803286,	1.7671746156988826,	0.05,	0.006460201626398231
0.02651692292663954,	0.2827513468540201,	2.474139941014682,	0.05,	0.014393093148517196
0.04860761968058318,	0.4418139350788726,	3.1812517644970506,	0.05,	0.02674819301665115
0.08041982519242825,	0.6362441102369015,	3.888603503160578,	0.05,	0.04445374032833162
0.12372281064234344,	0.8660597089983036,	4.596311975228042,	0.05,	0.06839021591001926
0.17940322688235125,	1.1136083248001558,	4.950972316037043,	0.05,	0.09888994251767882
0.24746493721474228,	1.3612342066478205,	4.952517636953293,	0.05,	0.13574604076012883
0.3279126648893327,	1.6089545534918082,	4.954406936879754,	0.05,	0.17870558208378765
0.4207519938379756,	1.856786578972859,	4.9566405096210175,	0.05,	0.227469549978118
0.5259893694340011,	2.1047475119205084,	4.959218658952986,	0.05,	0.2816927998828827
0.6427474710483396,	2.3351620322867706,	4.608290407325244,	0.05,	0.3405433866883771
0.769264152967976,	2.5303336383927277,	3.9034321221191437,	0.05,	0.40275927987127547
0.9037762010507641,	2.69024096165576,	3.1981464652606473,	0.05,	0.46713566607120777
1.0445190393413113,	2.814856765810944,	2.492316083103674,	0.05,	0.5325406573152839
1.1897264949117086,	2.9041491114079467,	1.7858469119400588,	0.05,	0.5979278813165866
1.3376306211037112,	2.9580825238400545,	1.0786682486421562,	0.05,	0.6623459445117805
1.4864615793310607,	2.9766191645469897,	0.3707328141387034,	0.05,	0.7249447596343087
1.6353338461488685,	2.9774453363561553,	0.01652343618331109,	0.05,	0.7853316325027282
1.7842474275665,	2.9782716283526294,	0.01652583992948209,	0.05,	0.8435062403308791
1.9332023286782465,	2.9790980222349317,	0.016527877646046463,	0.05,	0.8994683093387668
2.0821985537408456,	2.9799245012519804,	0.016529580340973737,	0.05,	0.9532176105963014
2.231236106248053,	2.980751050144146,	0.016530977843309813,	0.05,	1.004753956022666
2.380314989002608,	2.981577655091099,	0.01653209893905938,	0.05,	1.0540771945419352
2.529435204185038,	2.982404303648596,	0.01653297114994068,	0.05,	1.1011872083953145
2.678596753419585,	2.9832309846909437,	0.016533620846956865,	0.05,	1.1460839096103856
2.8277996378372348,	2.9840576883529915,	0.016534073240954683,	0.05,	1.188767236628077
2.977043858135734,	2.984884405969983,	0.016534352339832026,	0.05,	1.22923715108719
3.1263294146366616,	2.9857111300185517,	0.016534480971373,	0.05,	1.2674936347672243
3.2756563073396996,	2.9865378540607614,	0.016534480844194732,	0.05,	1.3035366866891398
3.425024535973667,	2.9873645726793434,	0.01653437237163935,	0.05,	1.3373663203749193
3.574434100044741,	2.988191281421482,	0.016534174842774974,	0.05,	1.3689825612652307
3.723884998881877,	2.9890179767427187,	0.016533906424731626,	0.05,	1.3983854442960717
3.8733772316789716,	2.989844655941892,	0.016533583983466826,	0.05,	1.4255750116338095
4.022910797534188,	2.99067131710432,	0.016533223248558215,	0.05,	1.4505513105691188
4.172485695486364,	2.9914979590435222,	0.016532838784044657,	0.05,	1.473314391569329
4.322101924548497,	2.9923245812426713,	0.016532443982981704,	0.05,	1.4938643064897759
4.471759483738047,	2.99315118379101,	0.016532050966775458,	0.05,	1.5122011069437866
4.621458372104461,	2.99397776732826,	0.016531670745001392,	0.05,	1.528324842830829
4.771198588753724,	2.9948043329852596,	0.016531313139989123,	0.05,	1.5422355610240506
4.9209801328699445,	2.995630882324403,	0.016530986782870016,	0.05,	1.55393330421577
5.070803003733857,	2.9964574172782585,	0.01653069907710858,	0.05,	1.5634181099216926
