135
8.92857142857143E-4,	0.03571428571428572,	0.7142857142857143,	0.05,	0.0
0.005295685061055121,	0.08805655836395955,	1.0468454529934765,	0.05,	-0.04451932570438342
0.015218065524230367,	0.1984476092635049,	2.207821017990907,	0.05,	-0.14554555829064694
0.032913272700239235,	0.3539041435201774,	3.10913068513345,	0.05,	-0.32811555745371
0.06070702908297693,	0.5558751276547539,	4.03941968269153,	0.05,	-0.6211461012109482
0.10105090761305074,	0.8068775706014765,	5.020048858934452,	0.05,	-1.0602941583848826
0.15660128027639733,	1.1110074532669316,	6.082597653309103,	0.05,	-1.6921859828962242
0.22917590783679387,	1.4514925512079306,	6.80970195881998,	0.05,	-2.5663574931694475
0.31979446922466465,	1.8123712277574158,	7.217573530989703,	0.05,	-3.7374274181177154
0.4299096214541056,	2.202303044588819,	7.798636336628064,	0.05,	-5.283214827255883
0.5615842786363248,	2.633493143644384,	8.623801981111301,	0.05,	-7.3142464772407605
0.7177545774263355,	3.1234059758002157,	9.798256643116634,	0.05,	-9.987867278227224
0.9025893195695005,	3.6966948428633,	11.465777341261685,	0.05,	-13.527546972075964
1.121869120478676,	4.385596018183509,	13.778023506404189,	0.05,	-18.24329782696496
1.3829772370759497,	5.2221623319454755,	16.731326275239322,	0.05,	-24.531368073929205
1.693206522710952,	6.204585712700046,	19.648467615091416,	0.05,	-32.783111945723654
2.054042388331124,	7.216717312403442,	20.24263199406791,	0.05,	-41.80696396766548
2.4522837943471494,	7.964828120320507,	14.962216158341306,	0.05,	-51.49563525831718
2.860244411354373,	8.15921234014447,	3.8876843964792407,	0.05,	-61.85279609136001
3.2530592322580167,	7.856296418072876,	-6.058318441431858,	0.05,	-71.85660301435679
3.620602160623519,	7.3508585673100395,	-10.108757015256735,	0.05,	-79.881370285609
3.964413821086963,	6.876233209268883,	-9.492507160823127,	0.05,	-86.10758501950457
4.328345029911963,	7.278624176500008,	8.0478193446225,	0.05,	-92.9808076701698
4.751961884854788,	8.472337098856508,	23.874258447130003,	0.05,	-102.72329090297666
5.246452548494918,	9.889813272802588,	28.34952347892159,	0.05,	-115.8821077420663
5.7897842828541295,	10.866634687184234,	19.53642828763293,	0.05,	-129.17828582676995
6.316070007755092,	10.525714498019264,	-6.818403783299409,	0.05,	-142.52677592541173
6.778163596624432,	9.241871777386788,	-25.676854412649526,	0.05,	-153.90539892878422
7.176744268780508,	7.971613443121526,	-25.405166685305236,	0.05,	-161.87222531703875
7.5289997443887575,	7.045109512164978,	-18.530078619130954,	0.05,	-167.35282801444203
7.849746922515776,	6.414943562540379,	-12.603318992491985,	0.05,	-171.143593978654
10.002353479823608,	43.05213114615661,	732.7437516723246,	0.05,	-171.13445468752798
10.244067156280884,	4.834273529145531,	-764.3571523402215,	0.05,	-170.69077657801907
10.485950660599828,	4.837670086378874,	0.06793114466685068,	0.05,	-170.25619096250236
10.728006799884277,	4.841122785688989,	0.06905398620229874,	0.05,	-169.83084815830372
10.970238173636448,	4.844627475043419,	0.0700937870885987,	0.05,	-169.41488737428602
11.212647179651695,	4.8481801203049475,	0.07105290523057306,	0.05,	-169.00843701688996
11.455236020229487,	4.851776811555831,	0.07193382501766266,	0.05,	-168.6116150291033
11.698006709086023,	4.855413777130732,	0.07273931149802237,	0.05,	-168.2245292573294
11.940961078633181,	4.8590873909431505,	0.07347227624837416,	0.05,	-167.8472778424702
12.184100787680599,	4.862794180948363,	0.07413580010425136,	0.05,	-167.47994963099805
12.427427329392161,	4.866530834231232,	0.07473306565737303,	0.05,	-167.1226246023239
12.67094203954646,	4.870294203085986,	0.07526737709508069,	0.05,	-166.7753743086155
12.914646104863758,	4.8740813063459605,	0.07574206519949556,	0.05,	-166.43826232386354
13.158540571559852,	4.877889333921874,	0.07616055151826728,	0.05,	-166.11134469863052
13.402626353866573,	4.881715646134433,	0.07652624425118049,	0.05,	-165.79467041777045
13.64690424258873,	4.8855577744431455,	0.07684256617425334,	0.05,	-165.48828185816967
13.891374913615227,	4.889413420529928,	0.07711292173564033,	0.05,	-165.1922152440276
14.136038936320341,	4.893280454102292,	0.0773406714472813,	0.05,	-164.90650109740778
14.38089678186923,	4.897156910977781,	0.07752913750978863,	0.05,	-164.63116468193297
14.625948831334492,	4.901040989305243,	0.07768156654924141,	0.05,	-164.36622643786316
14.871195383634582,	4.904931046001798,	0.07780113393110355,	0.05,	-164.11170240689154
15.11663666325129,	4.908825592334172,	0.07789092664747699,	0.05,	-163.8676046452702
15.36227282770452,	4.912723289064606,	0.07795393460867217,	0.05,	-163.63394162405194
15.608103974766763,	4.91662294124486,	0.07799304360508685,	0.05,	-163.41071861541624
15.854130149409817,	4.920523492861089,	0.07801103232457862,	0.05,	-163.19793806421134
16.100351350447635,	4.924424020756351,	0.07801055790524813,	0.05,	-162.99559994402506
16.34676753689051,	4.9283237288575,	0.07799416202297849,	0.05,	-162.80370209719607
16.593378633988383,	4.9322219419574225,	0.0779642619984422,	0.05,	-162.6222405583377
16.840184538959686,	4.9361180994260705,	0.07792314937296041,	0.05,	-162.4512098610428
17.08718512640151,	4.940011748836511,	0.07787298820881361,	0.05,	-162.29060332754116
17.33438025336844,	4.9439025393386,	0.07781581004177696,	0.05,	-162.1404133411709
17.58176976416445,	4.947790215920149,	0.0777535316309752,	0.05,	-162.00063160156313
17.82935349475258,	4.951674611762689,	0.077687916850806,	0.05,	-161.87124936259065
18.077131276906385,	4.9555556430761,	0.07762062626822441,	0.05,	-161.7522576530452
18.325102941994803,	4.959433301768361,	0.07755317384521732,	0.05,	-161.6436474801887
18.5732683244691,	4.963307649485954,	0.07748695435186193,	0.05,	-161.54541001625037
18.82162726503096,	4.967178811237159,	0.07742323502409221,	0.05,	-161.45753676801695
19.070179613486186,	4.971046969104517,	0.07736315734716115,	0.05,	-161.38001972966055
19.31892523128431,	4.974912355962529,	0.07730773716023265,	0.05,	-161.31285151895685
19.567863993766476,	4.978775249643308,	0.0772578736155971,	0.05,	-161.2560254970443
19.81699579208472,	4.982635966364922,	0.07721433443226289,	0.05,	-161.20953587188126
20.06632053483632,	4.98649485503196,	0.07717777334077525,	0.05,	-161.1733777855296
20.315838149397695,	4.99035229122754,	0.07714872391160199,	0.05,	-161.14754738539315
20.565548582950626,	4.994208671058617,	0.07712759662153346,	0.05,	-161.1320418795186
20.81545180322355,	4.998064405458474,	0.07711468799714183,	0.05,	-161.1268595760413
21.065547798930325,	5.001919914135547,	0.07711017354145255,	0.05,	-161.13199990684032
21.31583657991873,	5.005775619768114,	0.07711411265134416,	0.05,	-161.14746343544073
21.566318177022332,	5.009631942071998,	0.07712644607767771,	0.05,	-161.17325184917505
21.816992641623116,	5.0134892920157155,	0.07714699887435117,	0.05,	-161.2093679355929
22.067860044909697,	5.017348065731582,	0.07717547431733252,	0.05,	-161.25581554307854
22.318920476852885,	5.0212086388637545,	0.07721146264344725,	0.05,	-161.31259952561638
22.570174044870654,	5.025071360355431,	0.07725442983353759,	0.05,	-161.37972567161583
22.821620872199667,	5.028936546580218,	0.07730372449573863,	0.05,	-161.45720061669255
23.073261095967982,	5.03280447536635,	0.07735857572264138,	0.05,	-161.5450317402801
23.325094864957432,	5.036675379788976,	0.07741808845251441,	0.05,	-161.64322704593621
23.577122337060363,	5.040549442058651,	0.07748124539350698,	0.05,	-161.75179502519052
23.82934367642678,	5.0444267873283675,	0.07754690539432119,	0.05,	-161.87074450478562
24.08175905029806,	5.04830747742557,	0.0776138019440431,	0.05,	-162.00008447715464
24.334368625525407,	5.052191504546912,	0.07768054242685452,	0.05,	-162.13982391399026
24.587172564780488,	5.05607878510162,	0.07774561109414435,	0.05,	-162.28997156277856
24.84017102241141,	5.059969152618473,	0.07780735033707131,	0.05,	-162.4505357261602
25.093364140030136,	5.063862352374475,	0.07786399512003328,	0.05,	-162.62152402409075
25.34675204172643,	5.0677580339258315,	0.07791363102713333,	0.05,	-162.8029431386954
25.600334828989983,	5.071655745271093,	0.07795422690522358,	0.05,	-162.9947985418803
25.854112575303617,	5.075554926272657,	0.07798362003129,	0.05,	-163.1970942057451
26.10808532041706,	5.079454902268876,	0.07799951992437215,	0.05,	-163.40983229594588
26.36225306430792,	5.083354877817223,	0.07799951096695068,	0.05,	-163.6330128482405
26.616615760827376,	5.0872539303891084,	0.07798105143770329,	0.05,	-163.86663342853373
26.871173311063952,	5.091151004731529,	0.07794148684840962,	0.05,	-164.1106887768875
27.12592555640112,	5.095044906743385,	0.07787804023712042,	0.05,	-164.3651704360284
27.38087227130471,	5.0989342980717955,	0.07778782656821193,	0.05,	-164.630066365082
27.636013155853753,	5.1028176909808804,	0.07766785818169808,	0.05,	-164.9053605393886
27.89134782802762,	5.106693443477319,	0.0775150499287669,	0.05,	-165.19103253742728
28.146875815771466,	5.110559754876965,	0.07732622799291988,	0.05,	-165.4870571160561
28.402596548884002,	5.114414662250713,	0.07709814747496324,	0.05,	-165.79340377549622
28.65850935072282,	5.11825603677635,	0.07682749051273419,	0.05,	-166.110036315635
28.914587983002253,	5.121572645588682,	0.06633217624663956,	0.05,	-166.4368794117236
29.169890336763466,	5.106047075224289,	-0.3105114072878479,	0.05,	-166.77262521258126
29.422580564959315,	5.053804563916982,	-1.0448502261461456,	0.05,	-167.114588802257
29.670817477542208,	4.964738251657859,	-1.7813262451824663,	0.05,	-167.45979910645133
29.912754825864802,	4.838746966451909,	-2.5198257041189898,	0.05,	-167.80501414626883
30.146541693016925,	4.67573734304246,	-3.2601924681889827,	0.05,	-168.14674197158178
30.37032298310983,	4.47562580185809,	-4.002230823687398,	0.05,	-168.48126689591774
30.582265567766733,	4.238851693138044,	-4.735482174400918,	0.05,	-168.8047199715085
30.78145324496537,	3.9837535439727123,	-5.101962983306638,	0.05,	-169.1145213754467
30.96786414938745,	3.7282180884415497,	-5.110709110623253,	0.05,	-169.40950038321824
31.1414780613971,	3.472278240193017,	-5.118796964970658,	0.05,	-169.68857441760383
31.302276382102907,	3.2159664141161506,	-5.126236521537324,	0.05,	-169.9507477104508
31.450242103441088,	2.9593144267636,	-5.133039747051011,	0.05,	-170.19510968865188
31.58535977397717,	2.702353410721662,	-5.13922032083876,	0.05,	-170.42083314482306
