129
8.92857142857143E-4,	0.03571428571428572,	0.7142857142857143,	0.05
0.003632886198433121,	0.05480058111151956,	0.38172590794467676,	0.05
0.009781932228044254,	0.12298092059222265,	1.3636067896140618,	0.05
0.02065814153842977,	0.21752418620771036,	1.890865312309754,	0.05
0.03750719363457486,	0.33698104192290174,	2.3891371143038276,	0.05
0.06144887203160687,	0.47883356794064014,	2.837050520354768,	0.05
0.09339805598705676,	0.6389836791089978,	3.203002223367153,	0.05
0.13332233743325927,	0.79848562892405,	3.1900389963010434,	0.05
0.18020138326366936,	0.9375809166082019,	2.7819057536830383,	0.05
0.23258130466689572,	1.0475984280645274,	2.200350229126511,	0.05
0.2883968363095939,	1.1163106328539634,	1.3742440957887192,	0.05
0.34470727521577776,	1.1262087781236774,	0.19796290539427996,	0.05
0.39733481799434184,	1.0525508555712815,	-1.4731584510479179,	0.05
0.4404811075833999,	0.8629257917811618,	-3.7925012758023935,	0.05
0.46672951125136414,	0.5249680733592847,	-6.759154368437541,	0.05
0.46875578375503946,	0.0405254500735066,	-9.688852465715563,	0.05
0.4925503613245568,	0.4758915513903467,	8.707322026336803,	0.05
0.5289194490267969,	0.7273817540448019,	5.029804053089102,	0.05
0.5500396325662998,	0.42240367079005875,	-6.099561665094862,	0.05
0.5692118047941367,	0.3834434445567378,	-0.7792045246664192,	0.05
0.6370293064978265,	1.356350034073797,	19.458131790341184,	0.05
0.7482915602899773,	2.2252450758430173,	17.377900835384406,	0.05
0.8555075869947106,	2.144320534094666,	-1.6184908349670302,	0.05
0.915242245109299,	1.1946931622917663,	-18.99254743605799,	0.05
0.9182504946001968,	0.0601649898179577,	-22.69056344947617,	0.05
0.9649693659688816,	0.9343774273736966,	17.484248751114777,	0.05
0.9926883717527576,	0.5543801156775191,	-7.599946233923549,	0.05
1.0297898681127835,	0.7420299272005179,	3.752996230459975,	0.05
1.1308092082518675,	2.0203868027816796,	25.567137511623237,	0.05
1.278363921044507,	2.9510942558527895,	18.614149061422196,	0.05
1.4575258160607265,	3.58323790032439,	12.642872889432013,	0.05
1.718318832144841,	5.215860321682289,	32.65244842715797,	0.05
1.9813174037576191,	5.259971432255561,	0.8822222114654465,	0.05
2.2440683635599616,	5.255019196046853,	-0.09904472417415988,	0.05
2.5065611162234336,	5.249855053269439,	-0.10328285554829009,	0.05
2.768785797054203,	5.244493616615387,	-0.10722873308104397,	0.05
3.030733275600301,	5.238949570921957,	-0.11088091386859844,	0.05
3.2923951526304953,	5.233237540603888,	-0.11424060636137767,	0.05
3.5537637511299858,	5.22737196998981,	-0.1173114122815555,	0.05
3.814832101823807,	5.221367013876424,	-0.12009912226771391,	0.05
4.075593923712458,	5.215236437773016,	-0.12261152206816561,	0.05
4.336043600375558,	5.208993533261999,	-0.12485809022033223,	0.05
4.596176152648225,	5.20265104545334,	-0.12684975617318628,	0.05
4.8559872082076,	5.196221111187498,	-0.12859868531684526,	0.05
5.115472968676798,	5.189715209383956,	-0.1301180360708365,	0.05
5.37463017495576,	5.183144125579235,	-0.13142167609441202,	0.05
5.633456071101661,	5.17651792291803,	-0.13252405322411676,	0.05
5.891948367424501,	5.169845926456783,	-0.13343992922493442,	0.05
6.150105203172482,	5.163136714959636,	-0.13418422994293522,	0.05
6.40792510920835,	5.15639812071734,	-0.1347718848459145,	0.05
6.665406971059641,	5.149637237025824,	-0.13521767383032568,	0.05
6.922549992629103,	5.142860431389263,	-0.13553611273122712,	0.05
7.179353660839559,	5.136073364209106,	-0.13574134360313295,	0.05
7.435817711437556,	5.1292810119599395,	-0.13584704498333267,	0.05
7.691942096131802,	5.122487693884926,	-0.13586636150026976,	0.05
7.947726951182765,	5.115697101019256,	-0.1358118573133993,	0.05
8.203172567628757,	5.108912328919836,	-0.13569544198839267,	0.05
8.458279363136638,	5.102135910157643,	-0.13552837524386518,	0.05
8.713047855582358,	5.095369848914416,	-0.13532122486454412,	0.05
8.967478638449819,	5.088615657349218,	-0.13508383130396595,	0.05
9.22157235791466,	5.081874389296829,	-0.13482536104776344,	0.05
9.475329691747428,	5.075146676655353,	-0.13455425282952405,	0.05
9.728751330020502,	5.068432765461501,	-0.1342782238770468,	0.05
9.981837957468251,	5.061732548954983,	-0.1340043301303595,	0.05
10.234590237631954,	5.055045603274067,	-0.1337389136183198,	0.05
10.48700879864802,	5.048371220321322,	-0.13348765905490723,	0.05
10.739094220718314,	5.041708441405874,	-0.13325557830894397,	0.05
10.990847025152485,	5.035056088683407,	-0.13304705444934228,	0.05
11.242267665013506,	5.028412797220421,	-0.13286582925973178,	0.05
11.493356517299619,	5.021777045722257,	-0.13271502996326845,	0.05
11.74411387665494,	5.015147187106426,	-0.13259717231662194,	0.05
11.994539950556538,	5.008521478031971,	-0.13251418148909622,	0.05
12.244634855986126,	5.001898108591775,	-0.13246738880392073,	0.05
12.494398617561298,	4.995275231503442,	-0.1324575417666729,	0.05
12.743831167116866,	4.988650991111345,	-0.13248480784193717,	0.05
12.992932344734728,	4.982023552357235,	-0.13254877508218854,	0.05
13.241701901240933,	4.975391130124113,	-0.13264844466243986,	0.05
13.490139502144588,	4.968752018073103,	-0.13278224102020175,	0.05
13.738244733086118,	4.962104618830606,	-0.1329479848499382,	0.05
13.986017106769937,	4.955447473676396,	-0.1331429030842024,	0.05
14.233456071435358,	4.948779293308422,	-0.1333636073594846,	0.05
14.480561020883979,	4.9420989889724085,	-0.1336060867202704,	0.05
14.727331306099709,	4.9354057043146,	-0.13386569315617436,	0.05
14.973766248493268,	4.928698847871189,	-0.13413712886821472,	0.05
15.219865154836356,	4.921978126861743,	-0.13441442018892857,	0.05
15.465627333827266,	4.9152435798181875,	-0.13469094087110278,	0.05
15.711052114473533,	4.908495612925367,	-0.13495933785641512,	0.05
15.956138866149555,	4.901735033520422,	-0.1352115880988869,	0.05
16.20088702048887,	4.894963086786287,	-0.1354389346827034,	0.05
16.44529609497664,	4.888181489755376,	-0.1356319406182216,	0.05
16.689365718404364,	4.8813924685545,	-0.135780424017522,	0.05
16.93309565800711,	4.87459879205492,	-0.13587352999159918,	0.05
17.17648584833401,	4.8678038065379585,	-0.1358997103392312,	0.05
17.41953642175437,	4.8610114684071375,	-0.1358467626164206,	0.05
17.662247740514843,	4.8542263752095005,	-0.13570186395273964,	0.05
17.904620430216873,	4.847453794040601,	-0.135451623377989,	0.05
18.146655414546753,	4.840699686597613,	-0.13508214885975534,	0.05
18.38835395109485,	4.833970730961936,	-0.13457911271354206,	0.05
18.629717667979087,	4.827274337684713,	-0.1339278655444609,	0.05
18.870748601034343,	4.820618661105158,	-0.13311353159110695,	0.05
19.111449231199547,	4.814012603304064,	-0.13212115602186714,	0.05
19.351429083619422,	4.799597048397528,	-0.28831109813072686,	0.05
19.589443557758663,	4.760289482784859,	-0.7861513122533736,	0.05
19.82379186458216,	4.686966136469919,	-1.4664669262988106,	0.05
20.052782204170548,	4.5798067917677985,	-2.143186894042408,	0.05
20.274731006223845,	4.438976041065957,	-2.8166150140368273,	0.05
20.48796197446136,	4.264619364750272,	-3.487133526313695,	0.05
20.69080496654861,	4.056859841744977,	-4.155190460105906,	0.05
20.881984961850243,	3.8235999060326966,	-4.665198714245609,	0.05
21.06107922707875,	3.5818853045701653,	-4.834292029250626,	0.05
21.228123293100403,	3.3408813204330383,	-4.82007968274254,	0.05
21.383149449553855,	3.1005231290690474,	-4.807163827279819,	0.05
21.526186848045953,	2.860747969841978,	-4.795503184541383,	0.05
21.657261624959684,	2.6214955382746243,	-4.7850486313470775,	0.05
21.7763970385487,	2.382708271780371,	-4.775745329885064,	0.05
21.883613615046674,	2.144331529959422,	-4.767534836418985,	0.05
21.978929299053963,	1.9063136801457554,	-4.760356996273329,	0.05
22.062359602465733,	1.6686060682353967,	-4.754152238207174,	0.05
22.13391774833999,	1.431162917485103,	-4.748863015005873,	0.05
22.193614805188894,	1.193941136978073,	-4.7444356101406004,	0.05
22.241459808829102,	0.9569000728041724,	-4.740821283478011,	0.05
22.277847585345462,	0.7277555303271754,	-4.58289084953994,	0.05
22.304016293990415,	0.5233741728990338,	-4.0876271485628335,	0.05
22.321659745758335,	0.3528690353584178,	-3.410102750812319,	0.05
22.332470233591053,	0.2162097566543305,	-2.7331855740817455,	0.05
22.338139077553805,	0.11337687925504711,	-2.056657547985668,	0.05
22.340357040778684,	0.04435926449757875,	-1.380352295149367,	0.05
22.340814623888246,	0.0091516621912547,	-0.7041520461264811,	0.05
22.340814623888246,	0.0,	-0.18303324382509398,	0.05
