113
8.928571428571428E-4,	0.03571428571428571,	0.7142857142857142,	0.05,	0.0
0.004952739456800306,	0.08119764627886325,	0.9096672112915507,	0.05,	-0.026155459912400557
0.014083957808363724,	0.18262436703126836,	2.028534415048102,	0.05,	-0.08481693158701153
0.030305255681446534,	0.3244259574616562,	2.8360318086077565,	0.05,	-0.18846261722786103
0.055620536742379684,	0.5063056212186631,	3.637593275140137,	0.05,	-0.34877619846344715
0.0920098577831957,	0.7277864208163204,	4.429615991953146,	0.05,	-0.5761646739576605
0.14141883932467159,	0.9881796308295178,	5.2078642002639475,	0.05,	-0.8791914734077175
0.2047437432653962,	1.2664980788144924,	5.566368959699492,	0.05,	-1.2580400817271815
0.28184138610558923,	1.5419528568038605,	5.5090955597873625,	0.05,	-1.7050444695561782
0.37254472800904864,	1.8140668380691884,	5.442279625306559,	0.05,	-2.2112610398191572
0.47666709400946067,	2.0824473200082405,	5.367609638781041,	0.05,	-2.766694524735522
0.5940066464700493,	2.3467910492117734,	5.286874584070658,	0.05,	-3.36053732852918
0.723373886348297,	2.587344797564955,	4.811074967063629,	0.05,	-3.976904191997161
0.862627983678371,	2.7850819466014802,	3.954742980730508,	0.05,	-4.596777512894361
1.0096787310096194,	2.941014946624966,	3.118660000469715,	0.05,	-5.203850198704848
1.1624898517265045,	3.056222414337702,	2.3041493542547187,	0.05,	-5.784703187263216
1.3190789248209114,	3.1317814618881354,	1.5111809510086704,	0.05,	-6.328801679158991
1.477514920254896,	3.168719908679695,	0.7387689358311889,	0.05,	-6.828363310689751
1.6359142454422007,	3.1679865037460906,	-0.01466809867208596,	0.05,	-7.278146443259421
1.7933705500938413,	3.149126093032811,	-0.3772082142655897,	0.05,	-7.677428852761014
1.9499237168229728,	3.1310633345826298,	-0.361255169003627,	0.05,	-8.028346823639101
2.1056084411830094,	3.1136944872007346,	-0.34737694763790294,	0.05,	-8.332758808637157
2.260454532532602,	3.096921826991859,	-0.33545320417751157,	0.05,	-8.592261546777367
2.4144871796932224,	3.0806529432124052,	-0.3253776755890758,	0.05,	-8.808204303090552
2.5677271799289114,	3.0648000047137836,	-0.31705876997243365,	0.05,	-8.981701150237319
2.720191131382096,	3.049279029063695,	-0.31041951300177395,	0.05,	-9.11364126238357
2.871891587634464,	3.0340091250473535,	-0.30539808032682636,	0.05,	-9.204697218671777
3.022837175942922,	3.0189117661691633,	-0.30194717756380385,	0.05,	-9.255331331877567
3.1730326786882252,	3.003910054906067,	-0.3000342252619248,	0.05,	-9.265800020081747
3.322479078671489,	2.9889279996652744,	-0.29964110481585315,	0.05,	-9.236156238618731
