115
8.92857142857143E-4,	0.03571428571428572,	0.7142857142857143,	0.05
0.004234702612711267,	0.06683690939708248,	0.8061189531854138,	0.05
0.011754105032545679,	0.15038804839668823,	1.9004057322674341,	0.05
0.025122788485127945,	0.26737366905164534,	2.660287296787295,	0.05
0.046013560429175676,	0.4178154388809547,	3.419735050781173,	0.05
0.07610102109744471,	0.6017492133653808,	4.178464754412798,	0.05
0.11706247828163899,	0.8192291436838853,	4.936109716555063,	0.05
0.1697427575486459,	1.0536055853401383,	5.312460201219539,	0.05
0.23415384033339542,	1.2882216556949901,	5.307661788146798,	0.05
0.31031071588632075,	1.5231375110585061,	5.301659198746478,	0.05
0.3982315741034408,	1.7584171643424,	5.294375561115983,	0.05
0.49793801985558206,	1.9941289150428247,	5.285725292522021,	0.05
0.6094553021935493,	2.230345646759343,	5.275616949577637,	0.05
0.7328125505279516,	2.4671449666880454,	5.263956405688175,	0.05
0.8680430087737434,	2.7046091649158375,	5.250650337141769,	0.05
1.0151842577611954,	2.9428249797490382,	5.235610042369396,	0.05
1.1742784161325297,	3.181883167426686,	5.218755619225295,	0.05
1.345372309240805,	3.4218778621655064,	5.200019886010754,	0.05
1.5285175964158348,	3.6629057435005996,	5.179352324724205,	0.05
1.7237708477950342,	3.9050650275839875,	5.156722544789876,	0.05
1.9303462363559816,	4.131507771218946,	4.756778301263225,	0.05
2.146607887733174,	4.325233027543847,	3.9825810079356216,	0.05
2.370911223305337,	4.486066711443261,	3.211868197336152,	0.05
2.6016011235561716,	4.613798005016696,	2.44537226128573,	0.05
2.8370103590609093,	4.708184710094754,	1.6837187368209783,	0.05
3.075458343255113,	4.768959683884073,	0.9274048159758053,	0.05
3.315250243568311,	4.7958380062639625,	0.17678480777984618,	0.05
3.555535505670623,	4.8057052420462405,	-0.1972731892794144,	0.05
3.79631652717798,	4.815620430147141,	-0.1982354555392618,	0.05
4.037594978829845,	4.82556903303731,	-0.19890711607997602,	0.05
4.2793718977125605,	4.835538377654307,	-0.19932542602875358,	0.05
4.5216477770576855,	4.845517586902494,	-0.1995262787669816,	0.05
4.764422651896983,	4.8554974967859525,	-0.19954391235597058,	0.05
5.007696180023656,	4.865470562533455,	-0.1994106861219258,	0.05
5.251467717841025,	4.8754307563473755,	-0.19915692616541136,	0.05
5.495736390852024,	4.885373460219974,	-0.1988108054853832,	0.05
5.7405011585850705,	4.895295354660943,	-0.19839829659847652,	0.05
5.985760873944535,	4.905194307189302,	-0.19794311692407973,	0.05
6.231514336922539,	4.915069259560075,	-0.19746675409505698,	0.05
6.477760342768325,	4.924920116915711,	-0.19698846861643915,	0.05
6.724497724690992,	4.934747638453349,	-0.1965253366407893,	0.05
6.971725391200646,	4.944553330193086,	-0.19609230061462313,	0.05
7.2194423582440885,	4.954339340868842,	-0.19570220946688366,	0.05
7.467647776234744,	4.964108359813111,	-0.19536588417777168,	0.05
7.71634095213599,	4.973863518024908,	-0.19509215435054017,	0.05
7.96552136668071,	4.983608290894388,	-0.19488791565613894,	0.05
8.215188686837477,	4.993346403135332,	-0.19475816123623702,	0.05
8.465342773598959,	5.003081735229641,	-0.19470600918126024,	0.05
8.715983685129252,	5.012818230605861,	-0.19473272515615037,	0.05
8.96711167529895,	5.0225598033939445,	-0.19483772623829054,	0.05
9.218727187585856,	5.0323102457381275,	-0.1950185825684514,	0.05
9.470830844322622,	5.042073134735312,	-0.19527099555324057,	0.05
9.723423431216766,	5.051851737882875,	-0.1955887772059839,	0.05
9.976505877059253,	5.0616489168497445,	-0.19596381425628806,	0.05
10.230079228508746,	5.071467028989845,	-0.1963860277951035,	0.05
10.484144619851598,	5.081307826857039,	-0.1968433160976879,	0.05
10.738703237570624,	5.091172354380503,	-0.19732151684459964,	0.05
10.993756279645277,	5.101060841493079,	-0.1978043341393132,	0.05
11.249304909387511,	5.110972594844696,	-0.19827331832345862,	0.05
11.505350203807527,	5.1209058884003005,	-0.19870778852462578,	0.05
11.76189309633311,	5.130857850511631,	-0.19908484676086857,	0.05
12.018934313977747,	5.140824352892754,	-0.19937932575556871,	0.05
12.276474308883738,	5.15079989811985,	-0.1995638517219156,	0.05
12.53451318446964,	5.160777511718037,	-0.19960885649162208,	0.05
12.793050616359448,	5.170748637796163,	-0.1994826893176871,	0.05
13.052085768446958,	5.180703041750203,	-0.199151757568945,	0.05
13.31161720461196,	5.190628723300031,	-0.19858071772711483,	0.05
13.571642796731298,	5.200511842386786,	-0.1977327462838474,	0.05
13.832159629843728,	5.210336662248605,	-0.19656987170288076,	0.05
14.093163905495265,	5.220085513030752,	-0.19505339795820476,	0.05
14.354650844542345,	5.229738780941606,	-0.1931443982675063,	0.05
14.616614590840776,	5.239274925968599,	-0.19080432059762842,	0.05
14.879048117584478,	5.24867053487404,	-0.18799563613173476,	0.05
15.141943138105711,	5.257900410424666,	-0.18468262788600143,	0.05
15.405290023288917,	5.266937703664087,	-0.18083219598999278,	0.05
15.669077727674372,	5.275754087709097,	-0.17641480451604963,	0.05
15.93329372693762,	5.284319985264978,	-0.1714052868563165,	0.05
16.197923968620284,	5.292604833653272,	-0.1657839732457589,	0.05
16.462952838798536,	5.300577403565032,	-0.1595375010777289,	0.05
16.72836314687485,	5.308206161526303,	-0.15265971487844254,	0.05
16.994136130341232,	5.31545966932762,	-0.14515252287173652,	0.05
17.279330666146613,	5.703890716107587,	-7.825030233220911,	0.05
17.580882676078264,	6.031040198633001,	-6.504124526725539,	0.05
17.889731759061362,	6.176981659661968,	-2.9247012967449937,	0.05
18.207097294922438,	6.347310717221493,	-3.414420025983702,	0.05
18.534227664962025,	6.542607400791765,	-3.9162305909963813,	0.05
18.872201769645983,	6.759482093679192,	-4.350571801641037,	0.05
19.22138456627492,	6.983655932578744,	-4.609599689151409,	0.05
19.579806097757288,	7.1684306296473395,	-4.646536790985598,	0.05
19.942758299971644,	7.259044044287082,	-4.187579310195391,	0.05
20.30388915216903,	7.222617043947778,	-3.067134516730965,	0.05
20.656042385971446,	7.043064676048313,	-1.6234243987908137,	0.05
20.992537111647522,	6.72989451352149,	-0.37191907507236444,	0.05
21.308180252909807,	6.312862825245691,	0.28014354934293273,	0.05
21.599744713041687,	5.831289202637642,	0.25231847346017133,	0.05
21.866647182574752,	5.338049390661293,	-0.12136067197085154,	0.05
22.11006346868657,	4.868325722236306,	-0.5954676633828893,	0.05
22.33138268838396,	4.426384393947824,	-1.154138041109185,	0.05
22.531960853182902,	4.011563295978833,	-1.6987603550786279,	0.05
22.713008625603358,	3.620955448409102,	-2.184579718920725,	0.05
22.87555662177245,	3.2509599233818576,	-2.5978910840977054,	0.05
23.020458862573882,	2.8980448160286607,	-2.940222172323357,	0.05
23.148411762103347,	2.559057990589265,	-3.2192770877018217,	0.05
23.25997719200448,	2.2313085980226686,	-3.444357784412131,	0.05
23.355604455671298,	1.9125452733363275,	-3.6243051207400567,	0.05
23.43564921513438,	1.6008951892616643,	-3.7667243338489875,	0.05
23.500388919997935,	1.2947940972710803,	-3.877809470082574,	0.05
23.550198809466153,	0.9961977893643731,	-3.9173592287582126,	0.05
23.586451476279034,	0.7250533362576653,	-3.6415416335288695,	0.05
23.61135395381188,	0.4980495506568794,	-3.0958114790740074,	0.05
23.627068171092414,	0.31428434561068075,	-2.532024146680663,	0.05
23.635727243290795,	0.1731814439675864,	-1.9567037211592948,	0.05
23.63944743959542,	0.07440392609248293,	-1.3746414953862778,	0.05
23.640336617013688,	0.017783548365420714,	-0.789213081575288,	0.05
23.640336617013688,	0.0,	-0.24799660499053092,	0.05
